Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8,,B0,B1,B2,B3,B4,B5,B6,B7,,
16585729,12,FALSE,Rx,0,6,1,14,1D,11,4,0,0,0,,1,20,29,17,4,0,0,0,,
16600732,25,FALSE,Rx,0,8,44,0,F2,11,11,D1,80,FF,,68,0,242,17,17,209,128,255,,17408
16640741,1,FALSE,Rx,0,2,5E,1,0,0,0,0,0,0,,94,1,0,0,0,0,0,0,,
16650743,10,FALSE,Rx,0,6,5E,21,FE,80,99,99,0,0,,94,33,254,128,153,153,0,0,,
16670747,11,FALSE,Rx,0,4,0,0,0,F8,0,0,0,0,,0,0,0,248,0,0,0,0,,
16685750,12,FALSE,Rx,0,6,1,14,1D,11,4,0,0,0,,1,20,29,17,4,0,0,0,,
16740762,1,FALSE,Rx,0,2,5E,1,0,0,0,0,0,0,,94,1,0,0,0,0,0,0,,
16750764,10,FALSE,Rx,0,6,5E,21,FE,80,99,99,0,0,,94,33,254,128,153,153,0,0,,
16770768,11,FALSE,Rx,0,4,0,0,0,F8,0,0,0,0,,0,0,0,248,0,0,0,0,,
16780770,4,FALSE,Rx,0,2,80,FE,0,0,0,0,0,0,,128,254,0,0,0,0,0,0,,
16785771,12,FALSE,Rx,0,6,1,14,1D,11,4,0,0,0,,1,20,29,17,4,0,0,0,,
16800775,25,FALSE,Rx,0,8,44,0,F2,11,11,D1,80,FF,,68,0,242,17,17,209,128,255,,17408
16840783,1,FALSE,Rx,0,2,5E,1,0,0,0,0,0,0,,94,1,0,0,0,0,0,0,,
16850785,10,FALSE,Rx,0,6,5E,21,FE,80,99,99,0,0,,94,33,254,128,153,153,0,0,,
16870790,11,FALSE,Rx,0,4,0,0,0,F8,0,0,0,0,,0,0,0,248,0,0,0,0,,
16885793,12,FALSE,Rx,0,6,1,14,1D,11,4,0,0,0,,1,20,29,17,4,0,0,0,,
16940804,1,FALSE,Rx,0,2,5E,1,0,0,0,0,0,0,,94,1,0,0,0,0,0,0,,
16950807,10,FALSE,Rx,0,6,5E,21,FE,80,99,99,0,0,,94,33,254,128,153,153,0,0,,
16970811,11,FALSE,Rx,0,4,0,0,0,F8,0,0,0,0,,0,0,0,248,0,0,0,0,,
16980813,4,FALSE,Rx,0,2,80,FE,0,0,0,0,0,0,,128,254,0,0,0,0,0,0,,
16985814,12,FALSE,Rx,0,6,1,14,1D,11,4,0,0,0,,1,20,29,17,4,0,0,0,,
17000817,25,FALSE,Rx,0,8,44,0,F2,11,11,D1,80,FF,,68,0,242,17,17,209,128,255,,17408
17040826,1,FALSE,Rx,0,2,5E,1,0,0,0,0,0,0,,94,1,0,0,0,0,0,0,,
17050828,10,FALSE,Rx,0,6,5E,21,FE,80,99,99,0,0,,94,33,254,128,153,153,0,0,,
17070832,11,FALSE,Rx,0,4,0,0,0,F8,0,0,0,0,,0,0,0,248,0,0,0,0,,
17085835,12,FALSE,Rx,0,6,1,14,1D,11,4,0,0,0,,1,20,29,17,4,0,0,0,,
17140847,1,FALSE,Rx,0,2,5E,1,0,0,0,0,0,0,,94,1,0,0,0,0,0,0,,
17150849,10,FALSE,Rx,0,6,5E,21,FE,80,99,99,0,0,,94,33,254,128,153,153,0,0,,
17170853,11,FALSE,Rx,0,4,0,0,0,F8,0,0,0,0,,0,0,0,248,0,0,0,0,,
17180856,4,FALSE,Rx,0,2,80,FE,0,0,0,0,0,0,,128,254,0,0,0,0,0,0,,
17185857,12,FALSE,Rx,0,6,1,14,1D,11,4,0,0,0,,1,20,29,17,4,0,0,0,,
17200860,25,FALSE,Rx,0,8,44,0,F2,11,11,D1,80,FF,,68,0,242,17,17,209,128,255,,17408
17240868,1,FALSE,Rx,0,2,5E,1,0,0,0,0,0,0,,94,1,0,0,0,0,0,0,,
17250870,10,FALSE,Rx,0,6,5E,21,FE,80,99,99,0,0,,94,33,254,128,153,153,0,0,,
17270875,11,FALSE,Rx,0,4,0,0,0,F8,0,0,0,0,,0,0,0,248,0,0,0,0,,
17285878,12,FALSE,Rx,0,6,1,14,1D,11,4,0,0,0,,1,20,29,17,4,0,0,0,,
17340890,1,FALSE,Rx,0,2,5E,1,0,0,0,0,0,0,,94,1,0,0,0,0,0,0,,
